position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,position_rate_x,position_rate_y,position_rate_z,orientation_rate_x,orientation_rate_y,orientation_rate_z,wind_speed,engine_velocity_command,rudder_angle,waypoint_x,waypoint_y,reached_waypoint,waypoint_counter
219.99999991929323,39.99994563111145,1.0526614358060076,0.0002994964025836609,-0.0003003135508475051,0.7068251020068662,-0.002490678115893402,1.9867773776115465e-06,-1.0913089760879238,-2.3338733722665442e-05,-0.02391849527656395,-1.2535069535792266e-06,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.99466857256294,40.011966140297915,0.8179781404502169,0.007194125584385017,-0.003779530092224651,0.7051084204244428,0.3809183521482842,0.08795081905168095,-1.5630829116857035,0.08276611177967182,-0.17583867499083639,-0.08169111270121457,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.99466857256294,40.011966140297915,0.8179781404502169,0.007194125584385017,-0.003779530092224651,0.7051084204244428,0.3809183521482842,0.08795081905168095,-1.5630829116857035,0.08276611177967182,-0.17583867499083639,-0.08169111270121457,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.95970739673268,40.21812438024417,0.5016990106072867,0.03706750272730725,-0.012069319620354643,0.6920720305801031,1.385390474254318,0.23109708997882394,-1.6272150348205745,0.19733009248724753,-0.3256296900045842,-0.25873536752829257,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.95970739673268,40.21812438024417,0.5016990106072867,0.03706750272730725,-0.012069319620354643,0.6920720305801031,1.385390474254318,0.23109708997882394,-1.6272150348205745,0.19733009248724753,-0.3256296900045842,-0.25873536752829257,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.9347172757948,40.39639427587367,0.34588256842137777,0.05776389203411057,-0.01676027961802668,0.6798640805520835,1.6768286160514885,0.28072841241510516,-1.648993878989665,0.2255951631704634,-0.35762894323691935,-0.3437936488897956,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.88839693736955,40.670109891231256,0.5422626644724905,0.09703837841873102,-0.030924311919958224,0.6539898842964462,2.070098820036228,0.8685714129821224,2.8970688105526317,0.19254128347937,-0.44222206824139565,-0.42864852989617475,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.88839693736955,40.670109891231256,0.5422626644724905,0.09703837841873102,-0.030924311919958224,0.6539898842964462,2.070098820036228,0.8685714129821224,2.8970688105526317,0.19254128347937,-0.44222206824139565,-0.42864852989617475,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.82499148161088,40.99911767689271,1.268021804266508,0.12798010381377442,-0.0312668702672904,0.6167821129960149,2.5632696874634924,1.3139667458150783,3.374376268062737,0.19419533443757186,-0.05469256261982612,-0.5562847657818879,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.82499148161088,40.99911767689271,1.268021804266508,0.12798010381377442,-0.0312668702672904,0.6167821129960149,2.5632696874634924,1.3139667458150783,3.374376268062737,0.19419533443757186,-0.05469256261982612,-0.5562847657818879,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.80034001066124,41.32252198288767,1.6615211419737514,0.130483744898057,-0.005451770205763441,0.5755284673267013,2.026496896242147,0.7683083423056953,0.641054458659587,0.226430559777961,0.1728819947372349,-0.6891155144067881,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.83846396729484,41.67137485804232,1.731141994707237,0.14293780643293544,0.021355361842119464,0.527706938175884,2.1335609891948213,0.5290371133277465,-0.5891939358282566,0.27798527478701673,0.03464543986626739,-0.7448549844910167,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.8430297345989,41.69835018160732,1.7283882605951217,0.14415188003448404,0.023018926140784095,0.5239360897378912,2.141820804619605,0.5161391129028687,-0.6648042779447233,0.27920977204264036,0.023873536114640978,-0.7487498028542933,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.9230605132366,42.06053530558017,1.626578872724754,0.1633802446979619,0.039215061685641144,0.47099325949912796,2.2295174463539635,0.37115246542794433,-1.3157975580765977,0.2868320540535788,-0.14955306829301826,-0.7984775973822931,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
219.9230605132366,42.06053530558017,1.626578872724754,0.1633802446979619,0.039215061685641144,0.47099325949912796,2.2295174463539635,0.37115246542794433,-1.3157975580765977,0.2868320540535788,-0.14955306829301826,-0.7984775973822931,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
220.08432964094595,42.51930235850669,1.404094880310981,0.1956412614830265,0.04483255036650954,0.3917376973713291,1.908092431614885,0.22089838747588386,-1.5790040720327607,0.2096474969240933,-0.2921254770283413,-0.8577675318464832,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
220.08432964094595,42.51930235850669,1.404094880310981,0.1956412614830265,0.04483255036650954,0.3917376973713291,1.908092431614885,0.22089838747588386,-1.5790040720327607,0.2096474969240933,-0.2921254770283413,-0.8577675318464832,4,200.0,1.0471975511965976,267.0,62.0,0.0,1
220.21409252039695,42.84879082487419,1.3622828383975902,0.1502402674529948,0.0182903250094814,0.3137830799010866,1.4186641746696427,0.9424219143523591,0.46073001692277216,-0.8763762113647696,-0.19621494464761968,-0.8370774990420637,4,200.0,0.8283710815803597,267.0,62.0,0.0,1
220.21409252039695,42.84879082487419,1.3622828383975902,0.1502402674529948,0.0182903250094814,0.3137830799010866,1.4186641746696427,0.9424219143523591,0.46073001692277216,-0.8763762113647696,-0.19621494464761968,-0.8370774990420637,4,200.0,0.8283710815803597,267.0,62.0,0.0,1
