Time of Receipt (s),Time of Transmission (s),Time of Data (s),Day of Year,Year,Packet Type,Number of Data Elements,Packet Source,Unique ID Number,Message Type,Version,NAVSSI Status,INS Status,GPS 1 Status,GPS 2 Status,North RMS Error (ft),East RMS Error (ft),Vertical Position RMS Error (ft),Radial Error Estimate (ft),North Velocity RMS Error (ft/s),East Velocity RMS Error (ft/s), Down Velocity RMS Error (ft/s),Roll RMS Error (degrees),Pitch RMS Error (degrees),Heading RMS Error (degrees),Time of Gyro Reset (s),Latitude (degrees),Longitude (degrees),Vertical Position (ft),Velocity North (kn),Velocity East (kn),Velocity Down (kn),Acceleration North (ft/s^2),Acceleration East (ft/s^2),Acceleration Down (ft/s^2),Integral of Velocity North (ft),Integral of Velocity East (ft),Course (degrees),Speed Through The Water (kn),Calibration for Speed Log (kn),Depth Below Keel (ft),Ocean Current North (kn), Ocean Current East(kn),Roll (degrees),Pitch (degrees),Heading (degrees),Roll Rate (degrees/s),Pitch Rate (degrees/s),Heading Rate (degrees/s),Roll Acceleration (degrees/s^2),Pitch Acceleration (degrees/s^2),Heading Acceleration (degrees/s^2),OSD_Status,Own Ship Distance (NM),Athwartships Speed (kn),Vertical Speed (kn),True Wind Status,True Wind Speed (kn),True Wind Direction (degrees),True Wind Sensor,Apparent Wind Status,Apparent Wind Speed (kn),Apparent Wind Direction (degrees),Apparent Wind Sensor,MV Status,Magnetic Variation (radians),Checksum
1537212151.6941,69751.7089362,69751.7089362,260,2018,2,55,1,14,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077,0.00003,0,5.7300000191,0.4799999893,0,0,0,0,0,0,4.8299999237,5.75,0,0,0,0,0,0,4.8299999237,0,0,0.1700000018,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,2848808716
1537212151.6941,69751.7089362,69751.7089362,260,2018,2,55,1,14,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00077,0.00003,0,5.7300000191,0.4799999893,0,0,0,0,0,0,4.8299999237,5.75,0,0,0,0,0,0,4.8299999237,0,0,0.1700000018,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,2848808716
1537212152.6925,69752.7073379,69752.7073379,260,2018,2,55,1,15,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.00003,0,5.8299999237,0.5099999905,0,0,0,0,0,0,5.0300002098,5.8499999046,0,0,0,0,0,0,5.0300002098,0,0,0.1800000072,0,0,0,0,0,0,0,0,0,0,0,0,5.8499999046,0,0,0,0,525308829
1537212152.6925,69752.7073379,69752.7073379,260,2018,2,55,1,15,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0.00003,0,5.8299999237,0.5099999905,0,0,0,0,0,0,5.0300002098,5.8499999046,0,0,0,0,0,0,5.0300002098,0,0,0.1800000072,0,0,0,0,0,0,0,0,0,0,0,0,5.8499999046,0,0,0,0,525308829
1537212153.6909,69753.7057397,69753.7057397,260,2018,2,55,1,16,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082,0.00004,0,5.9200000763,0.5400000215,0,0,0,0,0,0,5.2100000381,5.9400000572,0,0,0,0,0,0,5.2100000381,0,0,0.1800000072,0,0,0,0,0,0,0,0,0,0,0,0,5.9400000572,0,0,0,0,4197470700
1537212153.6909,69753.7057397,69753.7057397,260,2018,2,55,1,16,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082,0.00004,0,5.9200000763,0.5400000215,0,0,0,0,0,0,5.2100000381,5.9400000572,0,0,0,0,0,0,5.2100000381,0,0,0.1800000072,0,0,0,0,0,0,0,0,0,0,0,0,5.9400000572,0,0,0,0,4197470700
1537212154.6893,69754.7041414,69754.7041414,260,2018,2,55,1,17,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085,0.00004,0,6,0.5699999928,0,0,0,0,0,0,5.3899998665,6.0300002098,0,0,0,0,0,0,5.3899998665,0,0,0.1800000072,0,0,0,0,0,0,0,0,0,0,0,0,6.0300002098,0,0,0,0,1872796406
1537212154.6893,69754.7041414,69754.7041414,260,2018,2,55,1,17,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085,0.00004,0,6,0.5699999928,0,0,0,0,0,0,5.3899998665,6.0300002098,0,0,0,0,0,0,5.3899998665,0,0,0.1800000072,0,0,0,0,0,0,0,0,0,0,0,0,6.0300002098,0,0,0,0,1872796406
1537212155.6878,69755.7025432,69755.7025432,260,2018,2,55,1,18,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0.00004,0,6.0900001526,0.5899999738,0,0,0,0,0,0,5.5700001717,6.1199998856,0,0,0,0,0,0,5.5700001717,0,0,0.1800000072,0,0,0,0,0,0,0,0,0,0,0,0,6.1199998856,0,0,0,0,250280633
1537212155.6878,69755.7025432,69755.7025432,260,2018,2,55,1,18,1,6,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0.00004,0,6.0900001526,0.5899999738,0,0,0,0,0,0,5.5700001717,6.1199998856,0,0,0,0,0,0,5.5700001717,0,0,0.1800000072,0,0,0,0,0,0,0,0,0,0,0,0,6.1199998856,0,0,0,0,250280633
